"","error_rate","red","green","blue"
"346",0.00240033060321975,60.65,109.95,141.45
"347",0.00241008286394154,60.62,110.26,141.46
"348",0.0024198747469508,60.59,110.57,141.47
"349",0.00242970641322821,60.56,110.88,141.48
"350",0.00243957802440853,60.53,111.19,141.49
"351",0.00244948974278318,60.5,111.5,141.5
"352",0.00245944173130297,60.47,111.81,141.51
"353",0.00246943415358078,60.44,112.12,141.52
"354",0.00247946717389419,60.41,112.43,141.53
"355",0.00248954095718824,60.38,112.74,141.54
"356",0.00249965566907814,60.35,113.05,141.55
"357",0.00250981147585194,60.32,113.36,141.56
"358",0.00252000854447332,60.29,113.67,141.57
"359",0.00253024704258431,60.26,113.98,141.58
"360",0.00254052713850806,60.23,114.29,141.59
"361",0.00255084900125158,60.2,114.6,141.6
"362",0.00256121280050854,60.17,114.91,141.61
"363",0.00257161870666207,60.14,115.22,141.62
"364",0.00258206689078751,60.11,115.53,141.63
"365",0.00259255752465531,60.08,115.84,141.64
"366",0.00260309078073377,60.05,116.15,141.65
"367",0.0026136668321919,60.02,116.46,141.66
"368",0.00262428585290231,59.99,116.77,141.67
"369",0.00263494801744401,59.96,117.08,141.68
"370",0.0026456535011053,59.93,117.39,141.69
"371",0.00265640247988667,59.9,117.7,141.7
"372",0.00266719513050367,59.87,118.01,141.71
"373",0.00267803163038984,59.84,118.32,141.72
"374",0.00268891215769958,59.81,118.63,141.73
"375",0.00269983689131115,59.78,118.94,141.74
"376",0.00271080601082953,59.75,119.25,141.75
"377",0.00272181969658946,59.72,119.56,141.76
"378",0.00273287812965831,59.69,119.87,141.77
"379",0.00274398149183915,59.66,120.18,141.78
"380",0.00275512996567366,59.63,120.49,141.79
"381",0.00276632373444518,59.6,120.8,141.8
"382",0.00277756298218172,59.57,121.11,141.81
"383",0.00278884789365895,59.54,121.42,141.82
"384",0.00280017865440327,59.51,121.73,141.83
"385",0.00281155545069487,59.48,122.04,141.84
"386",0.00282297846957075,59.45,122.35,141.85
"387",0.00283444789882783,59.42,122.66,141.86
"388",0.00284596392702603,59.39,122.97,141.87
"389",0.00285752674349137,59.36,123.28,141.88
"390",0.00286913653831906,59.33,123.59,141.89
"391",0.00288079350237665,59.3,123.9,141.9
"392",0.00289249782730719,59.27,124.21,141.91
"393",0.00290424970553233,59.24,124.52,141.92
"394",0.00291604933025549,59.21,124.83,141.93
"395",0.00292789689546509,59.18,125.14,141.94
"396",0.00293979259593767,59.15,125.45,141.95
"397",0.00295173662724115,59.12,125.76,141.96
"398",0.00296372918573801,59.09,126.07,141.97
"399",0.00297577046858851,59.06,126.38,141.98
"400",0.00298786067375397,59.03,126.69,141.99
"401",0.003,59,127,142
"402",0.00300864288823277,59.01,127.22,141.96
"403",0.00301731067630453,59.02,127.44,141.92
"404",0.00302600343595081,59.03,127.66,141.88
"405",0.00303472123911377,59.04,127.88,141.84
"406",0.00304346415794286,59.05,128.1,141.8
"407",0.00305223226479537,59.06,128.32,141.76
"408",0.00306102563223706,59.07,128.54,141.72
"409",0.00306984433304275,59.08,128.76,141.68
"410",0.00307868844019691,59.09,128.98,141.64
"411",0.00308755802689428,59.1,129.2,141.6
"412",0.00309645316654049,59.11,129.42,141.56
"413",0.00310537393275262,59.12,129.64,141.52
"414",0.00311432039935987,59.13,129.86,141.48
"415",0.0031232926404041,59.14,130.08,141.44
"416",0.00313229073014051,59.15,130.3,141.4
"417",0.00314131474303822,59.16,130.52,141.36
"418",0.00315036475378089,59.17,130.74,141.32
"419",0.00315944083726735,59.18,130.96,141.28
"420",0.0031685430686122,59.19,131.18,141.24
"421",0.00317767152314644,59.2,131.4,141.2
"422",0.0031868262764181,59.21,131.62,141.16
"423",0.00319600740419288,59.22,131.84,141.12
"424",0.00320521498245472,59.23,132.06,141.08
"425",0.0032144490874065,59.24,132.28,141.04
"426",0.00322370979547063,59.25,132.5,141
"427",0.00323299718328967,59.26,132.72,140.96
"428",0.00324231132772701,59.27,132.94,140.92
"429",0.00325165230586747,59.28,133.16,140.88
"430",0.00326102019501794,59.29,133.38,140.84
"431",0.00327041507270805,59.3,133.6,140.8
"432",0.00327983701669078,59.31,133.82,140.76
"433",0.00328928610494309,59.32,134.04,140.72
"434",0.00329876241566663,59.33,134.26,140.68
"435",0.00330826602728832,59.34,134.48,140.64
"436",0.00331779701846102,59.35,134.7,140.6
"437",0.00332735546806421,59.36,134.92,140.56
"438",0.00333694145520459,59.37,135.14,140.52
"439",0.0033465550592168,59.38,135.36,140.48
"440",0.003356196359664,59.39,135.58,140.44
"441",0.0033658654363386,59.4,135.8,140.4
"442",0.00337556236926287,59.41,136.02,140.36
"443",0.00338528723868962,59.42,136.24,140.32
"444",0.00339504012510289,59.43,136.46,140.28
"445",0.00340482110921856,59.44,136.68,140.24
"446",0.00341463027198508,59.45,136.9,140.2
"447",0.00342446769458407,59.46,137.12,140.16
"448",0.00343433345843108,59.47,137.34,140.12
"449",0.00344422764517616,59.48,137.56,140.08
"450",0.00345415033670465,59.49,137.78,140.04
"451",0.00346410161513775,59.5,138,140
"452",0.00347408156283328,59.51,138.22,139.96
"453",0.00348409026238631,59.52,138.44,139.92
"454",0.00349412779662987,59.53,138.66,139.88
"455",0.00350419424863562,59.54,138.88,139.84
"456",0.00351428970171458,59.55,139.1,139.8
"457",0.00352441423941774,59.56,139.32,139.76
"458",0.00353456794553682,59.57,139.54,139.72
"459",0.00354475090410495,59.58,139.76,139.68
"460",0.00355496319939734,59.59,139.98,139.64
"461",0.00356520491593201,59.6,140.2,139.6
"462",0.00357547613847044,59.61,140.42,139.56
"463",0.00358577695201835,59.62,140.64,139.52
"464",0.00359610744182632,59.63,140.86,139.48
"465",0.00360646769339056,59.64,141.08,139.44
"466",0.00361685779245358,59.65,141.3,139.4
"467",0.00362727782500491,59.66,141.52,139.36
"468",0.00363772787728181,59.67,141.74,139.32
"469",0.00364820803577,59.68,141.96,139.28
"470",0.00365871838720435,59.69,142.18,139.24
"471",0.00366925901856961,59.7,142.4,139.2
